Marca,Título do Produto,URL do Produto,Descrição HTML,Tags,Título da Variante,SKU,Preço (€),Caminhos das Imagens Locais
CUBA,CUBA NINJA COCONUT 30MG,https://snusmart.com/products/cuba-ninja-coconut,,"COCONUT, FRUITS, STRONG",Default Title,5904717759600,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-coconut_77536111755590.jpg
CUBA,CUBA NINJA BUBBLE GUM 30MG,https://snusmart.com/products/cuba-ninja-bubble-gum,,"BUBBLEGUM, STRONG",Default Title,5904717759099,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-bubble-gum_77536161169734.jpg
CUBA,CUBA WHITE PEACH 16MG,https://snusmart.com/products/cuba-white-peach,,"FRUITS, MEDIUM",Default Title,5905753347219,3.69,/home/ubuntu/snusmart_data/images/cuba-white-peach_77537051312454.jpg
CUBA,CUBA NINJA STRAWBERRY 30MG,https://snusmart.com/products/cuba-ninja-strawberry,,"BERRIES, STRAWBERRY, STRONG",Default Title,5904717759631,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-strawberry_77536079053126.jpg
CUBA,CUBA WHITE FOREST BERRIES 16MG,https://snusmart.com/products/cuba-white-forest-berries,,"BERRIES, MEDIUM",Default Title,5904717759518,3.69,/home/ubuntu/snusmart_data/images/cuba-white-forest-berries_77536365871430.jpg
CUBA,CUBA NINJA ORANGE 30MG,https://snusmart.com/products/cuba-ninja-orange,,"orange, STRONG",Default Title,5904717759648,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-orange_77536131383622.jpg
CUBA,CUBA WHITE APPLE JUICE 16MG,https://snusmart.com/products/cuba-white-apple-juice,,"APPLE, MEDIUM",Default Title,5905753347455,3.69,/home/ubuntu/snusmart_data/images/cuba-white-apple-juice_77536333955398.jpg
CUBA,CUBA BLACK COLD DRY 66MG,https://snusmart.com/products/cuba-black-cold-dry,,"EXTREMELY STRONG, MINT",Default Title,5905753347479,3.79,/home/ubuntu/snusmart_data/images/cuba-black-cold-dry_77537130545478.jpg
CUBA,CUBA WHITE PINEAPPLE 16MG,https://snusmart.com/products/cuba-white-pineapple,,"MEDIUM, PINEAPPLE",Default Title,5904717759037,3.69,/home/ubuntu/snusmart_data/images/cuba-white-pineapple_77536536887622.jpg
CUBA,CUBA WHITE COLA 16MG,https://snusmart.com/products/cuba-white-cola,,"COLA, MEDIUM",Default Title,5904717759471,3.69,/home/ubuntu/snusmart_data/images/cuba-white-cola_77536490324294.jpg
CUBA,CUBA NINJA MINT FRESH 30MG,https://snusmart.com/products/cuba-ninja-mint-fresh,,"MINT, STRONG",Default Title,5904717759624,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-mint-fresh_77536044712262.jpg
CUBA,CUBA WHITE BANANA HIT 16MG,https://snusmart.com/products/cuba-white-banana-hit,,"BANANA, EXTREMELY STRONG",Default Title,5905753347226,3.69,/home/ubuntu/snusmart_data/images/cuba-white-banana-hit_77537098498374.jpg
CUBA,CUBA WHITE WATERMELON 16MG,https://snusmart.com/products/cuba-white-watermelon,,"MEDIUM, WATERMELON",Default Title,5904717759501,3.69,/home/ubuntu/snusmart_data/images/cuba-white-watermelon_77536510345542.jpg
CUBA,CUBA WHITE GRAPE 16MG,https://snusmart.com/products/cuba-white-grape,,"GRAPE, MEDIUM",Default Title,5905753347486,3.69,/home/ubuntu/snusmart_data/images/cuba-white-grape_77536271794502.jpg
CUBA,CUBA NINJA ICE COOL 16MG,https://snusmart.com/products/cuba-ninja-ice-cool,,"MEDIUM, MINT",Default Title,5904717759129,3.69,/home/ubuntu/snusmart_data/images/cuba-ninja-ice-cool_77536255050054.jpg
CUBA,CUBA WHITE BLUEBERRY 16MG,https://snusmart.com/products/cuba-white-blueberry,,"BERRIES, BLUEBERRY, MEDIUM",Default Title,5904717759013,3.69,/home/ubuntu/snusmart_data/images/cuba-white-blueberry_77536554418502.jpg
CUBA,CUBA WHITE ICE SPEARMINT 16MG,https://snusmart.com/products/cuba-white-ice-spearmint,,"MEDIUM, MINT",Default Title,5904717759488,3.69,/home/ubuntu/snusmart_data/images/cuba-white-ice-spearmint_77536457720134.jpg
CUBA,CUBA BLACK LOLLIPOP 66MG,https://snusmart.com/products/cuba-black-lollipop-43mg,,"CANDY, cuba, EXTRA STRONG",Default Title,5905753347882,3.79,/home/ubuntu/snusmart_data/images/cuba-black-lollipop-43mg_80706147025222.jpg
CUBA,CUBA WHITE DOUBLE FRESH 16MG,https://snusmart.com/products/cuba-white-double-fresh,,"MEDIUM, MINT",Default Title,5904316128135,3.69,/home/ubuntu/snusmart_data/images/cuba-white-double-fresh_77537009631558.jpg
CUBA,CUBA WHITE BLACK CURRANT 16MG,https://snusmart.com/products/cuba-white-black-currant,,"BERRIES, MEDIUM",Default Title,5905753347202,3.69,/home/ubuntu/snusmart_data/images/cuba-white-black-currant_77537022968134.jpg
CUBA,CUBA BLACK TROPICAL FRUIT 66MG,https://snusmart.com/products/cuba-black-tropical-fruit-43mg,,"cuba, EXTRA STRONG, TROPICAL FRUIT",Default Title,5905753347875,3.79,/home/ubuntu/snusmart_data/images/cuba-black-tropical-fruit-43mg_80706146861382.jpg
CUBA,CUBA BLACK RASPBERRY 66MG,https://snusmart.com/products/cuba-black-raspberry-43mg,,"cuba, EXTRA STRONG, RASPBERRY",Default Title,5905753347905,3.79,/home/ubuntu/snusmart_data/images/cuba-black-raspberry-43mg_80706146926918.jpg
CUBA,CUBA BLACK MANGO 66MG,https://snusmart.com/products/cuba-black-mango-43mg,,"cuba, EXTRA STRONG, MANGO",Default Title,5905753347868,3.79,/home/ubuntu/snusmart_data/images/cuba-black-mango-43mg_80706146763078.jpg
CUBA,CUBA WHITE COLD DRY 16MG,https://snusmart.com/products/cuba-white-cold-dry,,"MEDIUM, MINT",Default Title,5905753347462,3.69,/home/ubuntu/snusmart_data/images/cuba-white-cold-dry_77536297943366.jpg
CUBA,CUBA BLACK BLACKBERRY 66MG,https://snusmart.com/products/cuba-black-blackberry-43mg,,"BLACKBERRY, cuba, EXTRA STRONG",Default Title,5905753347899,3.79,/home/ubuntu/snusmart_data/images/cuba-black-blackberry-43mg_80706146992454.jpg
CUBA,CUBA WHITE LOLLIPOP 16MG,https://snusmart.com/products/cuba-white-lollipop-10-4mg,,"CANDY, cuba, MEDIUM",Default Title,5905753347837,3.69,/home/ubuntu/snusmart_data/images/cuba-white-lollipop-10-4mg_80706147877190.jpg
CUBA,CUBA WHITE TROPICAL FRUIT 16MG,https://snusmart.com/products/cuba-white-tropical-fruit-10-4mg,,"cuba, MEDIUM, TROPICAL FRUIT",Default Title,5905753347820,3.69,/home/ubuntu/snusmart_data/images/cuba-white-tropical-fruit-10-4mg_80706147320134.jpg
CUBA,CUBA WHITE RASPBERRY 16MG,https://snusmart.com/products/cuba-white-raspberry-10-4mg,,"cuba, MEDIUM, RASPBERRY",Default Title,5905753347851,3.69,/home/ubuntu/snusmart_data/images/cuba-white-raspberry-10-4mg_80706147549510.jpg
CUBA,CUBA WHITE MANGO 16MG,https://snusmart.com/products/cuba-white-mango-10-4mg,,"cuba, MANGO, MEDIUM",Default Title,5905753347813,3.69,/home/ubuntu/snusmart_data/images/cuba-white-mango-10-4mg_80706147189062.jpg
CUBA,CUBA WHITE BLACKBERRY 16MG,https://snusmart.com/products/cuba-white-blackberry-10-4mg,,"BLACKBERRY, cuba, MEDIUM",Default Title,5905753347844,3.69,/home/ubuntu/snusmart_data/images/cuba-white-blackberry-10-4mg_80706147713350.jpg
CUBA,CUBA BLACK WATERMELON 66MG,https://snusmart.com/products/cuba-black-watermelon,,"EXTREMELY STRONG, WATERMELON",Default Title,5904717759440,3.79,/home/ubuntu/snusmart_data/images/cuba-black-watermelon_77537353171270.jpg
CUBA,CUBA BLACK BANANA HIT 66MG,https://snusmart.com/products/cuba-black-banana-hit,,"BANANA, EXTREMELY STRONG",Default Title,5905753347257,3.79,/home/ubuntu/snusmart_data/images/cuba-black-banana-hit_77537598964038.jpg
CUBA,CUBA WHITE CHERRY 16MG,https://snusmart.com/products/cuba-white-cherry,,"BERRIES, cherry, FRUITS, MEDIUM",Default Title,5904717759020,3.69,/home/ubuntu/snusmart_data/images/cuba-white-cherry_77536609501510.jpg
CUBA,CUBA BLACK BLUEBERRY 66MG,https://snusmart.com/products/cuba-black-blueberry,,"BERRIES, BLUEBERRY, EXTREMELY STRONG",Default Title,5904316128180,3.79,/home/ubuntu/snusmart_data/images/cuba-black-blueberry_77537431191878.jpg
CUBA,CUBA COCA LEAF 66MG,https://snusmart.com/products/cuba-coca-leaf,,EXTREMELY STRONG,Default Title,5904717759044,3.79,/home/ubuntu/snusmart_data/images/cuba-coca-leaf_77537223999814.jpg
CUBA,CUBA BLACK DOUBLE FRESH 66MG,https://snusmart.com/products/cuba-black-double-fresh,,"EXTREMELY STRONG, MINT",Default Title,5904316128128,3.79,/home/ubuntu/snusmart_data/images/cuba-black-double-fresh_77537533100358.jpg
CUBA,CUBA BLACK ICE SPEARMINT 66MG,https://snusmart.com/products/cuba-black-ice-spearmint,,"EXTREMELY STRONG, MINT",Default Title,5904717759426,3.79,/home/ubuntu/snusmart_data/images/cuba-black-ice-spearmint_77537320075590.jpg
CUBA,CUBA BLACK BLACK CURRANT 66MG,https://snusmart.com/products/cuba-black-black-currant,,"BERRIES, EXTREMELY STRONG",Default Title,5905753347233,3.79,/home/ubuntu/snusmart_data/images/cuba-black-black-currant_77537589395782.jpg
GARANT,GARANT EXTREME FREEZE 70MG,https://snusmart.com/products/garant-extreme-freeze,,"EXTREMELY STRONG, MINT",Default Title,4779049511605,3.79,/home/ubuntu/snusmart_data/images/garant-extreme-freeze_77483079598406.jpg
GARANT,GARANT EXTREME EDITION ICE PEACH 50MG,https://snusmart.com/products/garant-extreme-edition-ice-peach,,"EXTRA STRONG, FRUITS",Default Title,4779049511810,3.79,/home/ubuntu/snusmart_data/images/garant-extreme-edition-ice-peach_77483260674374.jpg
GARANT,GARANT EXTREME EDITION CHERRY 50MG,https://snusmart.com/products/garant-extreme-edition-cherry,,"BERRIES, cherry, EXTRA STRONG",Default Title,4779049511902,3.79,/home/ubuntu/snusmart_data/images/garant-extreme-edition-cherry_77483205591366.jpg
GARANT,GARANT EXTREME EDITION ICE BLUEBERRY 50MG,https://snusmart.com/products/garant-extreme-edition-ice-blueberry,,"BERRIES, BLUEBERRY, EXTRA STRONG",Default Title,4779049511841,3.79,/home/ubuntu/snusmart_data/images/garant-extreme-edition-ice-blueberry_77483172036934.jpg
GARANT,GARANT ICE COOL  35MG,https://snusmart.com/products/garant-ice-cool,,"EXTRA STRONG, MINT",Default Title,4779049511575,3.79,/home/ubuntu/snusmart_data/images/garant-ice-cool_77483305533766.jpg
GARANT,GARANT EXTREME  50MG,https://snusmart.com/products/garant-extreme,,"EXTRA STRONG, MINT",Default Title,4779049511636,3.79,/home/ubuntu/snusmart_data/images/garant-extreme_77483342299462.jpg
GARANT,GARANT ICE COOL MINI 35MG,https://snusmart.com/products/garant-ice-cool-mini,,,Default Title,4779049517737,3.79,/home/ubuntu/snusmart_data/images/garant-ice-cool-mini_78989780615494.jpg
